             16,THEFT                                                                                               ,     81093
             16,WEAPONS VIOLATION                                                                                   ,      2714
             17,ARSON                                                                                               ,       262
             17,ASSAULT                                                                                             ,     23893
             17,BATTERY                                                                                             ,     57881
             17,BURGLARY                                                                                            ,     17980
             17,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        21
             17,CRIM SEXUAL ASSAULT                                                                                 ,       867
             17,CRIMINAL DAMAGE                                                                                     ,     37435
             17,CRIMINAL SEXUAL ASSAULT                                                                             ,        28
             17,CRIMINAL TRESPASS                                                                                   ,      9610
             17,DECEPTIVE PRACTICE                                                                                  ,     12701
             17,GAMBLING                                                                                            ,       769
             17,HOMICIDE                                                                                            ,       426
             17,HUMAN TRAFFICKING                                                                                   ,         1
             17,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       939
             17,INTIMIDATION                                                                                        ,       211
             17,KIDNAPPING                                                                                          ,       419
             17,LIQUOR LAW VIOLATION                                                                                ,       588
             17,MOTOR VEHICLE THEFT                                                                                 ,     13576
             17,NARCOTICS                                                                                           ,     25835
             17,NON - CRIMINAL                                                                                      ,         1
             17,NON-CRIMINAL                                                                                        ,        11
             17,NON-CRIMINAL (SUBJECT SPECIFIED)                                                                    ,         2
             17,OBSCENITY                                                                                           ,        25
             17,OFFENSE INVOLVING CHILDREN                                                                          ,      2935
             17,OTHER NARCOTIC VIOLATION                                                                            ,         8
             17,OTHER OFFENSE                                                                                       ,     20137
             17,PROSTITUTION                                                                                        ,       872
             17,PUBLIC INDECENCY                                                                                    ,        10
             17,PUBLIC PEACE VIOLATION                                                                              ,      2239
             17,RITUALISM                                                                                           ,         1
